machine_id,line_id,reading_ts,temperature_c,vibration_mm_s,pressure_psi,latent_wear,will_fail_within_6h
MCH0001,LINE-A,2026-07-01T06:10:00,64.98,1.005,104.79,0.0332,0
MCH0001,LINE-A,2026-07-01T06:20:00,68.07,0.856,105.64,0.0339,0
MCH0001,LINE-A,2026-07-01T06:30:00,65.62,0.893,105.04,0.0348,0
MCH0001,LINE-A,2026-07-01T06:40:00,65.62,1.032,106.76,0.0362,0
MCH0001,LINE-A,2026-07-01T06:50:00,65.95,1.041,103.32,0.037,0
MCH0001,LINE-A,2026-07-01T07:00:00,65.44,0.936,103.05,0.0383,0
MCH0001,LINE-A,2026-07-01T07:10:00,65.34,0.997,105.16,0.039,0
MCH0001,LINE-A,2026-07-01T07:20:00,66.44,0.935,105.45,0.0399,0
MCH0001,LINE-A,2026-07-01T07:30:00,65.72,1.047,105.3,0.0412,0
MCH0001,LINE-A,2026-07-01T07:40:00,67.26,0.99,105.89,0.0419,0
MCH0001,LINE-A,2026-07-01T07:50:00,65.97,0.851,104.32,0.0428,0
MCH0001,LINE-A,2026-07-01T08:00:00,66.91,1.047,105.78,0.044,0
MCH0001,LINE-A,2026-07-01T08:10:00,68.25,0.796,106.22,0.0447,0
MCH0001,LINE-A,2026-07-01T08:20:00,65.63,1.007,105.21,0.046,0
MCH0001,LINE-A,2026-07-01T08:30:00,67.61,0.983,104.84,0.0472,0
MCH0001,LINE-A,2026-07-01T08:40:00,66.82,0.995,103.45,0.048,0
MCH0001,LINE-A,2026-07-01T08:50:00,66.91,0.943,105.87,0.0486,0
MCH0001,LINE-A,2026-07-01T09:00:00,66.08,1.037,103.86,0.049,0
MCH0001,LINE-A,2026-07-01T09:10:00,65.38,1.06,104.35,0.0499,0
MCH0001,LINE-A,2026-07-01T09:20:00,65.93,0.973,106.03,0.0508,0
MCH0001,LINE-A,2026-07-01T09:30:00,66.24,1.095,104.07,0.0513,0
MCH0001,LINE-A,2026-07-01T09:40:00,68.95,0.949,102.53,0.0522,0
MCH0001,LINE-A,2026-07-01T09:50:00,68.25,0.988,105.97,0.053,0
MCH0001,LINE-A,2026-07-01T10:00:00,66.86,1.043,106.14,0.0538,0
MCH0001,LINE-A,2026-07-01T10:10:00,67.03,1.249,104.11,0.0546,0
MCH0001,LINE-A,2026-07-01T10:20:00,68.06,1.029,104.64,0.0559,0
MCH0001,LINE-A,2026-07-01T10:30:00,66.5,1.174,106.08,0.056,0
MCH0001,LINE-A,2026-07-01T10:40:00,66.01,1.088,103.47,0.0568,0
MCH0001,LINE-A,2026-07-01T10:50:00,66.16,1.126,105.65,0.058,0
MCH0001,LINE-A,2026-07-01T11:00:00,66.68,1.045,104.49,0.059,0
MCH0001,LINE-A,2026-07-01T11:10:00,66.3,1.105,104.89,0.0595,0
MCH0001,LINE-A,2026-07-01T11:20:00,66.32,1.055,102.87,0.0602,0
MCH0001,LINE-A,2026-07-01T11:30:00,65.44,1.041,106.02,0.0613,0
MCH0001,LINE-A,2026-07-01T11:40:00,69.1,1.039,102.99,0.0622,0
MCH0001,LINE-A,2026-07-01T11:50:00,66.43,1.071,103.97,0.063,0
MCH0001,LINE-A,2026-07-01T12:00:00,65.12,0.938,104.83,0.064,0
MCH0001,LINE-A,2026-07-01T12:10:00,67.46,1.145,105.38,0.0649,0
MCH0001,LINE-A,2026-07-01T12:20:00,67.91,1.122,105.32,0.0656,0
MCH0001,LINE-A,2026-07-01T12:30:00,64.97,1.1,104.0,0.0671,0
MCH0001,LINE-A,2026-07-01T12:40:00,67.7,1.205,103.81,0.0681,0
MCH0001,LINE-A,2026-07-01T12:50:00,67.46,1.146,106.4,0.0693,0
MCH0001,LINE-A,2026-07-01T13:00:00,67.63,1.187,103.82,0.07,0
MCH0001,LINE-A,2026-07-01T13:10:00,66.61,1.013,107.41,0.0704,0
MCH0001,LINE-A,2026-07-01T13:20:00,65.12,0.973,104.04,0.0712,0
MCH0001,LINE-A,2026-07-01T13:30:00,68.03,1.134,104.68,0.0723,0
MCH0001,LINE-A,2026-07-01T13:40:00,66.61,0.992,105.03,0.0732,0
MCH0001,LINE-A,2026-07-01T13:50:00,66.42,1.144,104.5,0.0739,0
MCH0001,LINE-A,2026-07-01T14:00:00,67.63,1.018,106.51,0.0747,0
MCH0001,LINE-A,2026-07-01T14:10:00,68.73,1.114,105.46,0.0758,0
MCH0001,LINE-A,2026-07-01T14:20:00,66.42,1.207,103.17,0.0764,0
MCH0001,LINE-A,2026-07-01T14:30:00,67.02,1.146,104.88,0.0773,0
MCH0001,LINE-A,2026-07-01T14:40:00,67.95,1.124,104.92,0.0785,0
MCH0001,LINE-A,2026-07-01T14:50:00,67.94,1.188,103.82,0.0796,0
MCH0001,LINE-A,2026-07-01T15:00:00,66.48,1.006,104.67,0.0801,0
MCH0001,LINE-A,2026-07-01T15:10:00,66.75,1.199,102.55,0.0813,0
MCH0001,LINE-A,2026-07-01T15:20:00,65.93,1.259,108.63,0.0818,0
MCH0001,LINE-A,2026-07-01T15:30:00,66.86,1.273,105.02,0.082,0
MCH0001,LINE-A,2026-07-01T15:40:00,66.47,1.191,102.53,0.0826,0
MCH0001,LINE-A,2026-07-01T15:50:00,69.67,1.165,104.13,0.0836,0
MCH0001,LINE-A,2026-07-01T16:00:00,68.26,1.158,105.27,0.0843,0
MCH0001,LINE-A,2026-07-01T16:10:00,66.34,1.073,102.44,0.0852,0
MCH0001,LINE-A,2026-07-01T16:20:00,67.3,1.415,104.82,0.0862,0
MCH0001,LINE-A,2026-07-01T16:30:00,68.63,1.24,106.33,0.0869,0
MCH0001,LINE-A,2026-07-01T16:40:00,64.58,1.173,103.41,0.0872,0
MCH0001,LINE-A,2026-07-01T16:50:00,66.08,1.326,105.48,0.0872,0
MCH0001,LINE-A,2026-07-01T17:00:00,66.61,1.367,106.07,0.0878,0
MCH0001,LINE-A,2026-07-01T17:10:00,65.93,1.068,104.68,0.0885,0
MCH0001,LINE-A,2026-07-01T17:20:00,68.38,1.137,102.93,0.0895,0
MCH0001,LINE-A,2026-07-01T17:30:00,68.25,1.224,104.39,0.0901,0
MCH0001,LINE-A,2026-07-01T17:40:00,66.81,1.047,106.35,0.0913,0
MCH0001,LINE-A,2026-07-01T17:50:00,65.77,1.154,102.46,0.0915,0
MCH0001,LINE-A,2026-07-01T18:00:00,68.48,1.203,104.62,0.0926,0
MCH0001,LINE-A,2026-07-01T18:10:00,68.09,1.212,104.76,0.093,0
MCH0001,LINE-A,2026-07-01T18:20:00,68.03,1.036,102.98,0.0943,0
MCH0001,LINE-A,2026-07-01T18:30:00,66.49,1.171,105.72,0.095,0
MCH0001,LINE-A,2026-07-01T18:40:00,67.65,1.2,105.34,0.0955,0
MCH0001,LINE-A,2026-07-01T18:50:00,67.81,1.231,104.79,0.0968,0
MCH0001,LINE-A,2026-07-01T19:00:00,66.68,1.286,100.28,0.0976,0
MCH0001,LINE-A,2026-07-01T19:10:00,66.53,1.191,106.27,0.0991,0
MCH0001,LINE-A,2026-07-01T19:20:00,68.02,1.167,108.29,0.0994,0
MCH0001,LINE-A,2026-07-01T19:30:00,67.35,1.303,106.01,0.1001,0
MCH0001,LINE-A,2026-07-01T19:40:00,67.81,1.194,105.12,0.1006,0
MCH0001,LINE-A,2026-07-01T19:50:00,68.97,1.305,100.87,0.1013,0
MCH0001,LINE-A,2026-07-01T20:00:00,65.16,1.26,104.69,0.1029,0
MCH0001,LINE-A,2026-07-01T20:10:00,67.9,1.236,102.34,0.1032,0
MCH0001,LINE-A,2026-07-01T20:20:00,68.3,1.131,105.42,0.1046,0
MCH0001,LINE-A,2026-07-01T20:30:00,66.27,1.357,104.11,0.1054,0
MCH0001,LINE-A,2026-07-01T20:40:00,68.41,1.152,105.94,0.1065,0
MCH0001,LINE-A,2026-07-01T20:50:00,65.85,1.369,103.09,0.1077,0
MCH0001,LINE-A,2026-07-01T21:00:00,66.85,1.15,106.03,0.1083,0
MCH0001,LINE-A,2026-07-01T21:10:00,68.06,1.301,104.65,0.1094,0
MCH0001,LINE-A,2026-07-01T21:20:00,69.84,1.211,104.99,0.1105,0
MCH0001,LINE-A,2026-07-01T21:30:00,68.7,1.381,103.67,0.1113,0
MCH0001,LINE-A,2026-07-01T21:40:00,65.77,1.213,104.14,0.1125,0
MCH0001,LINE-A,2026-07-01T21:50:00,66.57,1.155,103.66,0.1131,0
MCH0001,LINE-A,2026-07-01T22:00:00,70.06,1.214,106.42,0.1135,0
MCH0001,LINE-A,2026-07-01T22:10:00,67.85,1.279,103.78,0.1151,0
MCH0001,LINE-A,2026-07-01T22:20:00,68.46,1.169,106.27,0.1153,0
MCH0001,LINE-A,2026-07-01T22:30:00,67.34,1.407,104.84,0.1161,0
MCH0001,LINE-A,2026-07-01T22:40:00,67.75,1.251,101.4,0.1171,0
MCH0001,LINE-A,2026-07-01T22:50:00,68.95,1.297,103.87,0.1183,0
MCH0001,LINE-A,2026-07-01T23:00:00,68.43,1.18,102.81,0.1191,0
MCH0001,LINE-A,2026-07-01T23:10:00,68.93,1.208,103.88,0.12,0
MCH0001,LINE-A,2026-07-01T23:20:00,67.64,1.31,102.04,0.1206,0
MCH0001,LINE-A,2026-07-01T23:30:00,69.43,1.303,101.79,0.1216,0
MCH0001,LINE-A,2026-07-01T23:40:00,67.04,1.309,105.31,0.1226,0
MCH0001,LINE-A,2026-07-01T23:50:00,68.16,1.454,103.07,0.1232,0
MCH0001,LINE-A,2026-07-02T00:00:00,68.69,1.385,105.2,0.1242,0
MCH0001,LINE-A,2026-07-02T00:10:00,66.73,1.329,102.34,0.1253,0
MCH0001,LINE-A,2026-07-02T00:20:00,68.83,1.428,103.92,0.1258,0
MCH0001,LINE-A,2026-07-02T00:30:00,67.36,1.186,102.22,0.1259,0
MCH0001,LINE-A,2026-07-02T00:40:00,67.91,1.226,105.39,0.1267,0
MCH0001,LINE-A,2026-07-02T00:50:00,68.44,1.415,103.05,0.1282,0
MCH0001,LINE-A,2026-07-02T01:00:00,69.56,1.434,101.91,0.129,0
MCH0001,LINE-A,2026-07-02T01:10:00,67.21,1.201,105.67,0.1299,0
MCH0001,LINE-A,2026-07-02T01:20:00,68.99,1.277,104.68,0.131,0
MCH0001,LINE-A,2026-07-02T01:30:00,67.92,1.26,103.84,0.132,0
MCH0001,LINE-A,2026-07-02T01:40:00,68.06,1.088,104.56,0.1329,0
MCH0001,LINE-A,2026-07-02T01:50:00,67.24,1.5,102.89,0.1338,0
MCH0001,LINE-A,2026-07-02T02:00:00,69.2,1.433,105.72,0.1346,0
MCH0001,LINE-A,2026-07-02T02:10:00,68.62,1.446,104.15,0.1354,0
MCH0001,LINE-A,2026-07-02T02:20:00,69.88,1.298,106.63,0.1362,0
MCH0001,LINE-A,2026-07-02T02:30:00,68.16,1.429,102.29,0.1371,0
MCH0001,LINE-A,2026-07-02T02:40:00,71.7,1.373,103.5,0.1378,0
MCH0001,LINE-A,2026-07-02T02:50:00,67.46,1.381,103.24,0.1382,0
MCH0001,LINE-A,2026-07-02T03:00:00,68.83,1.363,104.28,0.1386,0
MCH0001,LINE-A,2026-07-02T03:10:00,69.95,1.149,105.53,0.1392,0
MCH0001,LINE-A,2026-07-02T03:20:00,70.08,1.265,105.32,0.1403,0
MCH0001,LINE-A,2026-07-02T03:30:00,69.04,1.39,103.82,0.1416,0
MCH0001,LINE-A,2026-07-02T03:40:00,71.62,1.416,104.96,0.1422,0
MCH0001,LINE-A,2026-07-02T03:50:00,66.87,1.402,105.9,0.1433,0
MCH0001,LINE-A,2026-07-02T04:00:00,68.02,1.271,102.9,0.1439,0
MCH0001,LINE-A,2026-07-02T04:10:00,68.25,1.405,107.81,0.145,0
MCH0001,LINE-A,2026-07-02T04:20:00,68.37,1.432,104.23,0.1453,0
MCH0001,LINE-A,2026-07-02T04:30:00,67.62,1.339,104.92,0.1457,0
MCH0001,LINE-A,2026-07-02T04:40:00,68.56,1.389,105.85,0.1465,0
MCH0001,LINE-A,2026-07-02T04:50:00,69.01,1.372,102.24,0.1472,0
MCH0001,LINE-A,2026-07-02T05:00:00,67.96,1.318,102.75,0.1479,0
MCH0001,LINE-A,2026-07-02T05:10:00,69.04,1.523,106.31,0.1487,0
MCH0001,LINE-A,2026-07-02T05:20:00,68.74,1.276,104.94,0.1492,0
MCH0001,LINE-A,2026-07-02T05:30:00,68.22,1.461,103.73,0.1501,0
MCH0001,LINE-A,2026-07-02T05:40:00,68.8,1.241,100.85,0.1506,0
MCH0001,LINE-A,2026-07-02T05:50:00,67.79,1.455,106.88,0.1516,0
MCH0001,LINE-A,2026-07-02T06:00:00,69.8,1.339,102.85,0.1522,0
MCH0001,LINE-A,2026-07-02T06:10:00,71.04,1.344,103.24,0.153,0
MCH0001,LINE-A,2026-07-02T06:20:00,70.0,1.456,102.73,0.1537,0
MCH0001,LINE-A,2026-07-02T06:30:00,70.03,1.457,103.01,0.1543,0
MCH0001,LINE-A,2026-07-02T06:40:00,68.46,1.455,104.18,0.1549,0
MCH0001,LINE-A,2026-07-02T06:50:00,68.93,1.413,100.92,0.1559,0
MCH0001,LINE-A,2026-07-02T07:00:00,68.02,1.359,103.35,0.1567,0
MCH0001,LINE-A,2026-07-02T07:10:00,69.11,1.369,101.85,0.1575,0
MCH0001,LINE-A,2026-07-02T07:20:00,69.33,1.281,102.12,0.1581,0
MCH0001,LINE-A,2026-07-02T07:30:00,70.6,1.507,100.33,0.1588,0
MCH0001,LINE-A,2026-07-02T07:40:00,69.35,1.364,100.3,0.1601,0
MCH0001,LINE-A,2026-07-02T07:50:00,70.18,1.424,105.66,0.1609,0
MCH0001,LINE-A,2026-07-02T08:00:00,67.3,1.411,105.51,0.1617,0
MCH0001,LINE-A,2026-07-02T08:10:00,70.15,1.376,103.28,0.1622,0
MCH0001,LINE-A,2026-07-02T08:20:00,69.54,1.44,102.96,0.1633,0
MCH0001,LINE-A,2026-07-02T08:30:00,69.38,1.66,105.3,0.1642,0
MCH0001,LINE-A,2026-07-02T08:40:00,67.75,1.477,105.42,0.1652,0
MCH0001,LINE-A,2026-07-02T08:50:00,70.41,1.555,103.5,0.1663,0
MCH0001,LINE-A,2026-07-02T09:00:00,68.86,1.334,102.79,0.167,0
MCH0001,LINE-A,2026-07-02T09:10:00,68.73,1.38,103.69,0.1679,0
MCH0001,LINE-A,2026-07-02T09:20:00,70.05,1.522,104.52,0.1687,0
MCH0001,LINE-A,2026-07-02T09:30:00,68.39,1.361,104.64,0.1691,0
MCH0001,LINE-A,2026-07-02T09:40:00,67.76,1.4,104.02,0.1699,0
MCH0001,LINE-A,2026-07-02T09:50:00,69.78,1.479,103.54,0.1711,0
MCH0001,LINE-A,2026-07-02T10:00:00,68.4,1.321,105.17,0.1723,0
MCH0001,LINE-A,2026-07-02T10:10:00,67.6,1.563,102.88,0.1726,0
MCH0001,LINE-A,2026-07-02T10:20:00,70.33,1.499,104.13,0.1734,0
MCH0001,LINE-A,2026-07-02T10:30:00,70.58,1.44,103.12,0.174,0
MCH0001,LINE-A,2026-07-02T10:40:00,68.49,1.382,103.38,0.1744,0
MCH0001,LINE-A,2026-07-02T10:50:00,68.27,1.529,104.32,0.1758,0
MCH0001,LINE-A,2026-07-02T11:00:00,71.69,1.407,103.16,0.1764,0
MCH0001,LINE-A,2026-07-02T11:10:00,71.28,1.49,104.77,0.1774,0
MCH0001,LINE-A,2026-07-02T11:20:00,74.11,1.494,104.15,0.1782,0
MCH0001,LINE-A,2026-07-02T11:30:00,68.98,1.402,103.72,0.1794,0
MCH0001,LINE-A,2026-07-02T11:40:00,70.18,1.511,101.18,0.1804,0
MCH0001,LINE-A,2026-07-02T11:50:00,69.44,1.56,102.39,0.1813,0
MCH0001,LINE-A,2026-07-02T12:00:00,68.45,1.503,101.73,0.1824,0
MCH0001,LINE-A,2026-07-02T12:10:00,69.5,1.487,104.12,0.1827,0
MCH0001,LINE-A,2026-07-02T12:20:00,69.39,1.515,103.08,0.1836,0
MCH0001,LINE-A,2026-07-02T12:30:00,69.23,1.36,102.83,0.185,0
MCH0001,LINE-A,2026-07-02T12:40:00,68.22,1.493,103.7,0.1862,0
MCH0001,LINE-A,2026-07-02T12:50:00,68.9,1.499,103.34,0.1865,0
MCH0001,LINE-A,2026-07-02T13:00:00,70.28,1.421,101.33,0.1883,0
MCH0001,LINE-A,2026-07-02T13:10:00,71.81,1.601,103.93,0.1887,0
MCH0001,LINE-A,2026-07-02T13:20:00,71.14,1.722,102.01,0.1897,0
MCH0001,LINE-A,2026-07-02T13:30:00,70.13,1.56,103.21,0.1905,0
MCH0001,LINE-A,2026-07-02T13:40:00,69.66,1.643,104.88,0.1917,0
MCH0001,LINE-A,2026-07-02T13:50:00,71.26,1.634,103.65,0.1922,0
MCH0001,LINE-A,2026-07-02T14:00:00,69.13,1.48,101.61,0.1932,0
MCH0001,LINE-A,2026-07-02T14:10:00,68.85,1.731,102.98,0.1945,0
MCH0001,LINE-A,2026-07-02T14:20:00,70.41,1.486,106.45,0.1953,0
MCH0001,LINE-A,2026-07-02T14:30:00,70.04,1.525,101.87,0.1964,0
MCH0001,LINE-A,2026-07-02T14:40:00,69.29,1.552,101.57,0.197,0
MCH0001,LINE-A,2026-07-02T14:50:00,70.16,1.585,104.9,0.1977,0
MCH0001,LINE-A,2026-07-02T15:00:00,69.43,1.552,103.65,0.1982,0
MCH0001,LINE-A,2026-07-02T15:10:00,70.24,1.575,103.86,0.1992,0
MCH0001,LINE-A,2026-07-02T15:20:00,69.95,1.626,105.72,0.2005,0
MCH0001,LINE-A,2026-07-02T15:30:00,70.02,1.437,106.07,0.2015,0
MCH0001,LINE-A,2026-07-02T15:40:00,71.94,1.622,100.43,0.2024,0
MCH0001,LINE-A,2026-07-02T15:50:00,66.43,1.541,105.69,0.2033,0
MCH0001,LINE-A,2026-07-02T16:00:00,69.0,1.487,102.78,0.2038,0
MCH0001,LINE-A,2026-07-02T16:10:00,69.66,1.578,105.33,0.2042,0
MCH0001,LINE-A,2026-07-02T16:20:00,72.04,1.633,103.87,0.205,0
MCH0001,LINE-A,2026-07-02T16:30:00,69.55,1.758,104.96,0.2057,0
MCH0001,LINE-A,2026-07-02T16:40:00,69.6,1.584,105.11,0.2063,0
MCH0001,LINE-A,2026-07-02T16:50:00,69.56,1.624,103.05,0.2071,0
MCH0001,LINE-A,2026-07-02T17:00:00,69.81,1.53,104.58,0.2077,0
MCH0001,LINE-A,2026-07-02T17:10:00,72.48,1.633,105.86,0.2085,0
MCH0001,LINE-A,2026-07-02T17:20:00,70.07,1.628,103.43,0.2092,0
MCH0001,LINE-A,2026-07-02T17:30:00,71.77,1.65,102.39,0.2103,0
MCH0001,LINE-A,2026-07-02T17:40:00,69.79,1.608,102.9,0.2114,0
MCH0001,LINE-A,2026-07-02T17:50:00,69.67,1.604,105.36,0.2121,0
MCH0001,LINE-A,2026-07-02T18:00:00,70.68,1.593,103.96,0.2134,0
MCH0001,LINE-A,2026-07-02T18:10:00,69.56,1.668,102.21,0.2145,0
MCH0001,LINE-A,2026-07-02T18:20:00,72.42,1.569,102.75,0.215,0
MCH0001,LINE-A,2026-07-02T18:30:00,70.12,1.593,103.0,0.2159,0
MCH0001,LINE-A,2026-07-02T18:40:00,68.84,1.727,104.34,0.2167,0
MCH0001,LINE-A,2026-07-02T18:50:00,72.12,1.594,104.74,0.2171,0
MCH0001,LINE-A,2026-07-02T19:00:00,71.79,1.775,104.32,0.2183,0
MCH0001,LINE-A,2026-07-02T19:10:00,71.1,1.687,102.21,0.2186,0
MCH0001,LINE-A,2026-07-02T19:20:00,70.15,1.723,104.28,0.219,0
MCH0001,LINE-A,2026-07-02T19:30:00,69.42,1.689,103.92,0.22,0
MCH0001,LINE-A,2026-07-02T19:40:00,72.05,1.545,103.79,0.2204,0
MCH0001,LINE-A,2026-07-02T19:50:00,67.9,1.514,102.48,0.2213,0
MCH0001,LINE-A,2026-07-02T20:00:00,68.78,1.717,103.32,0.222,0
MCH0001,LINE-A,2026-07-02T20:10:00,70.44,1.722,103.5,0.2225,0
MCH0001,LINE-A,2026-07-02T20:20:00,69.78,1.584,103.86,0.2234,0
MCH0001,LINE-A,2026-07-02T20:30:00,71.45,1.687,105.11,0.2242,0
MCH0001,LINE-A,2026-07-02T20:40:00,71.74,1.665,104.76,0.2256,0
MCH0001,LINE-A,2026-07-02T20:50:00,72.1,1.657,100.71,0.226,0
MCH0001,LINE-A,2026-07-02T21:00:00,69.59,1.537,104.8,0.2269,0
MCH0001,LINE-A,2026-07-02T21:10:00,68.64,1.73,105.77,0.2276,0
MCH0001,LINE-A,2026-07-02T21:20:00,72.56,1.828,101.16,0.2282,0
MCH0001,LINE-A,2026-07-02T21:30:00,71.98,1.687,103.54,0.2288,0
MCH0001,LINE-A,2026-07-02T21:40:00,71.69,1.602,100.12,0.2296,0
MCH0001,LINE-A,2026-07-02T21:50:00,72.21,1.57,101.41,0.2301,0
MCH0001,LINE-A,2026-07-02T22:00:00,73.05,1.746,102.64,0.2313,0
MCH0001,LINE-A,2026-07-02T22:10:00,70.82,1.701,103.21,0.2321,0
MCH0001,LINE-A,2026-07-02T22:20:00,73.96,1.836,104.39,0.233,0
MCH0001,LINE-A,2026-07-02T22:30:00,70.39,1.747,103.18,0.2337,0
MCH0001,LINE-A,2026-07-02T22:40:00,70.21,1.684,103.38,0.2341,0
MCH0001,LINE-A,2026-07-02T22:50:00,71.22,1.7,105.06,0.2352,0
MCH0001,LINE-A,2026-07-02T23:00:00,71.93,1.765,102.7,0.2362,0
MCH0001,LINE-A,2026-07-02T23:10:00,71.35,1.779,105.92,0.2371,0
MCH0001,LINE-A,2026-07-02T23:20:00,70.14,1.756,104.02,0.2379,0
MCH0001,LINE-A,2026-07-02T23:30:00,70.93,1.509,103.1,0.2384,0
MCH0001,LINE-A,2026-07-02T23:40:00,71.68,1.726,101.49,0.2391,0
MCH0001,LINE-A,2026-07-02T23:50:00,71.11,1.762,101.52,0.2399,0
MCH0001,LINE-A,2026-07-03T00:00:00,71.5,1.669,103.86,0.2403,0
MCH0001,LINE-A,2026-07-03T00:10:00,72.34,1.596,102.45,0.2408,0
MCH0001,LINE-A,2026-07-03T00:20:00,69.4,1.617,102.68,0.2414,0
MCH0001,LINE-A,2026-07-03T00:30:00,68.83,1.546,102.23,0.2424,0
MCH0001,LINE-A,2026-07-03T00:40:00,70.36,1.843,104.06,0.2429,0
MCH0001,LINE-A,2026-07-03T00:50:00,70.4,1.812,100.58,0.2435,0
MCH0001,LINE-A,2026-07-03T01:00:00,71.49,1.638,101.39,0.2446,0
MCH0001,LINE-A,2026-07-03T01:10:00,72.18,1.834,105.08,0.2455,0
MCH0001,LINE-A,2026-07-03T01:20:00,72.15,1.665,103.94,0.246,0
MCH0001,LINE-A,2026-07-03T01:30:00,70.56,1.664,103.68,0.2463,0
MCH0001,LINE-A,2026-07-03T01:40:00,71.46,1.906,104.09,0.2472,0
MCH0001,LINE-A,2026-07-03T01:50:00,71.37,1.854,103.23,0.2479,0
MCH0001,LINE-A,2026-07-03T02:00:00,69.9,1.755,103.48,0.2489,0
MCH0001,LINE-A,2026-07-03T02:10:00,71.97,1.653,102.79,0.2492,0
MCH0001,LINE-A,2026-07-03T02:20:00,71.73,1.756,104.05,0.2497,0
MCH0001,LINE-A,2026-07-03T02:30:00,72.34,1.732,104.66,0.2506,0
MCH0001,LINE-A,2026-07-03T02:40:00,72.21,1.865,102.09,0.2513,0
MCH0001,LINE-A,2026-07-03T02:50:00,72.58,1.779,103.16,0.252,0
MCH0001,LINE-A,2026-07-03T03:00:00,73.53,1.668,102.48,0.2529,0
MCH0001,LINE-A,2026-07-03T03:10:00,70.44,1.72,104.33,0.2539,0
MCH0001,LINE-A,2026-07-03T03:20:00,71.12,1.84,105.22,0.2547,0
MCH0001,LINE-A,2026-07-03T03:30:00,71.91,1.742,100.26,0.2559,0
MCH0001,LINE-A,2026-07-03T03:40:00,71.04,1.703,103.51,0.2565,0
MCH0001,LINE-A,2026-07-03T03:50:00,73.06,1.689,104.81,0.2573,0
MCH0001,LINE-A,2026-07-03T04:00:00,69.85,1.626,102.46,0.2578,0
MCH0001,LINE-A,2026-07-03T04:10:00,71.64,1.715,104.51,0.2582,0
MCH0001,LINE-A,2026-07-03T04:20:00,71.58,1.766,104.93,0.2591,0
MCH0001,LINE-A,2026-07-03T04:30:00,69.8,1.82,100.84,0.2605,0
