machine_id,line_id,downtime_start_ts,downtime_hours,reason
MCH0005,LINE-B,2026-07-17T21:30:00,0.34,Quality Hold
MCH0005,LINE-B,2026-07-05T21:00:00,1.45,Changeover
MCH0005,LINE-B,2026-07-19T10:40:00,0.49,Operator Break
MCH0005,LINE-B,2026-07-22T13:40:00,0.95,Quality Hold
MCH0006,LINE-B,2026-07-09T21:00:00,2.58,Equipment Failure
MCH0006,LINE-B,2026-07-17T13:10:00,0.59,Unplanned Maintenance
MCH0006,LINE-B,2026-08-02T03:40:00,1.65,Equipment Failure
MCH0006,LINE-B,2026-08-09T21:40:00,2.5,Equipment Failure
MCH0006,LINE-B,2026-08-02T03:40:00,0.39,Quality Hold
MCH0006,LINE-B,2026-07-13T16:40:00,1.96,Changeover
MCH0006,LINE-B,2026-07-14T16:10:00,0.5,Material Shortage
MCH0006,LINE-B,2026-07-24T03:40:00,1.0,Operator Break
MCH0006,LINE-B,2026-07-06T08:50:00,1.56,Operator Break
MCH0006,LINE-B,2026-08-11T19:00:00,0.62,Material Shortage
MCH0006,LINE-B,2026-08-01T11:50:00,1.87,Material Shortage
MCH0007,LINE-C,2026-07-13T02:40:00,2.02,Equipment Failure
MCH0007,LINE-C,2026-07-30T06:30:00,2.13,Unplanned Maintenance
MCH0007,LINE-C,2026-08-07T12:50:00,1.0,Unplanned Maintenance
MCH0007,LINE-C,2026-07-27T03:40:00,1.29,Quality Hold
MCH0007,LINE-C,2026-08-05T18:30:00,1.12,Quality Hold
MCH0007,LINE-C,2026-07-12T23:40:00,1.43,Changeover
MCH0007,LINE-C,2026-08-06T18:50:00,1.52,Material Shortage
MCH0007,LINE-C,2026-07-15T06:50:00,1.31,Quality Hold
MCH0007,LINE-C,2026-07-19T12:00:00,1.5,Operator Break
MCH0007,LINE-C,2026-07-29T03:50:00,1.17,Quality Hold
MCH0007,LINE-C,2026-08-14T11:00:00,1.51,Operator Break
MCH0008,LINE-C,2026-07-24T12:00:00,3.13,Unplanned Maintenance
MCH0008,LINE-C,2026-08-01T02:40:00,1.41,Unplanned Maintenance
MCH0008,LINE-C,2026-08-14T03:10:00,1.79,Unplanned Maintenance
MCH0008,LINE-C,2026-08-05T15:40:00,1.65,Changeover
MCH0008,LINE-C,2026-07-30T11:30:00,1.87,Quality Hold
MCH0008,LINE-C,2026-08-11T19:20:00,1.25,Quality Hold
MCH0009,LINE-C,2026-07-11T23:40:00,2.31,Equipment Failure
MCH0009,LINE-C,2026-08-06T19:00:00,1.29,Equipment Failure
MCH0009,LINE-C,2026-08-05T23:30:00,1.83,Changeover
MCH0009,LINE-C,2026-07-25T19:00:00,0.68,Operator Break
MCH0009,LINE-C,2026-07-05T01:40:00,1.06,Operator Break
MCH0009,LINE-C,2026-07-13T11:30:00,1.87,Quality Hold
MCH0009,LINE-C,2026-07-01T04:30:00,0.75,Changeover
MCH0010,LINE-D,2026-07-09T03:20:00,0.9,Equipment Failure
MCH0010,LINE-D,2026-07-21T07:10:00,0.97,Unplanned Maintenance
MCH0010,LINE-D,2026-07-28T18:50:00,1.33,Unplanned Maintenance
MCH0010,LINE-D,2026-08-07T18:50:00,3.96,Unplanned Maintenance
MCH0010,LINE-D,2026-08-09T06:20:00,1.33,Operator Break
MCH0010,LINE-D,2026-07-17T22:40:00,0.38,Changeover
MCH0010,LINE-D,2026-07-11T04:40:00,0.83,Operator Break
MCH0010,LINE-D,2026-07-17T13:40:00,1.95,Changeover
MCH0010,LINE-D,2026-07-02T12:10:00,1.14,Material Shortage
MCH0010,LINE-D,2026-07-29T21:00:00,1.8,Quality Hold
MCH0010,LINE-D,2026-08-06T11:20:00,0.75,Material Shortage
MCH0011,LINE-D,2026-07-08T17:00:00,0.96,Unplanned Maintenance
MCH0011,LINE-D,2026-07-21T22:10:00,1.46,Unplanned Maintenance
MCH0011,LINE-D,2026-08-03T18:30:00,3.35,Equipment Failure
MCH0011,LINE-D,2026-08-11T05:20:00,2.09,Equipment Failure
MCH0011,LINE-D,2026-07-12T16:40:00,0.97,Quality Hold
MCH0011,LINE-D,2026-07-18T09:10:00,1.48,Material Shortage
MCH0011,LINE-D,2026-07-15T14:10:00,1.16,Operator Break
MCH0011,LINE-D,2026-07-10T06:00:00,0.44,Material Shortage
MCH0012,LINE-D,2026-07-10T05:10:00,1.06,Equipment Failure
MCH0012,LINE-D,2026-07-31T06:40:00,3.36,Equipment Failure
MCH0012,LINE-D,2026-08-08T02:40:00,3.58,Equipment Failure
MCH0012,LINE-D,2026-08-03T02:40:00,0.26,Material Shortage
MCH0012,LINE-D,2026-08-04T22:40:00,1.74,Quality Hold
MCH0012,LINE-D,2026-08-12T01:50:00,0.42,Quality Hold
MCH0012,LINE-D,2026-08-09T14:30:00,1.56,Operator Break
MCH0012,LINE-D,2026-07-14T23:00:00,0.48,Changeover
